population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n900-g10000-4,900,2,,63.528382700168564,2.3774952840932055,1.2761834435217785,True
benchmark,TSP-line_noise-n900-g10000-5,900,2,,59.24382758320831,2.226280530180674,1.2952766656589385,True
batch1,AUG_collinear-d3-n100-g1000-rho0p1-r0,100,3,0.1,0.09405008291082759,2.0748818310997,1.9670609490297,False
batch1,AUG_collinear-d10-n100-g1000-rho1-r0,100,10,1.0,1.0216805117653323,1.1947190354907686,1.409064491951274,False
batch1,AUG_collinear-d3-n200-g10000-rho0p03-r0,200,3,0.03,0.030863300462799344,1.9796241538694008,1.98799849419059,True
batch1,AUG_collinear-d20-n200-g100-rho0p3-r0,200,20,0.3,0.303514209123631,1.0989340887358787,1.8013707976407012,True
batch1,AUG_collinear-d2-n200-g100-rho0p1-r0,200,2,0.1,0.10405058085949817,2.670646689098947,1.9355826519500556,True
batch1,AUG_collinear-d10-n200-g1000-rho1-r0,200,10,1.0,1.0201694238125558,1.2373606796950731,1.405232774446426,True
batch1,AUG_collinear-d50-n200-g1000-rho0p03-r0,200,50,0.03,0.03044281109794868,1.0404761937592397,1.9925407591848614,True
batch1,AUG_collinear-d10-n100-g1000-rho0p03-r0,100,10,0.03,0.03149543056866093,1.2329181551271333,1.9944630717137326,False
batch1,AUG_collinear-d20-n50-g100-rho1-r0,50,20,1.0,0.9990728233530013,1.088434476056806,1.3766829217320526,False
batch1,AUG_collinear-d20-n200-g10000-rho1-r0,200,20,1.0,0.9960007541742466,1.0965927019834931,1.3918844160657506,True
batch1,AUG_collinear-d5-n200-g10000-rho0p3-r0,200,5,0.3,0.30806314489305114,1.4645045936425616,1.8052077715890997,True
batch1,AUG_collinear-d10-n200-g1000-rho0p03-r0,200,10,0.03,0.03010821836271457,1.1839655032021403,1.9918397567927515,True
batch1,AUG_collinear-d2-n400-g10000-rho1-r0,400,2,1.0,1.0174591666565458,3.004236821966091,1.4787345267183067,True
batch1,AUG_collinear-d5-n200-g10000-rho0p03-r0,200,5,0.03,0.03118232383345216,1.3895361172398466,1.9904324363715218,True
batch1,AUG_collinear-d50-n400-g1000-rho1-r0,400,50,1.0,0.995973490925959,1.0419873652607066,1.3818569538018035,True
batch1,AUG_collinear-d10-n400-g1000-rho0p1-r0,400,10,0.1,0.10013289656265989,1.2440941871662605,1.9531589461324332,True
batch1,AUG_collinear-d10-n700-g1000-rho1-r0,700,10,1.0,1.0055615687512545,1.206878336685418,1.391409201628492,True
batch1,AUG_collinear-d2-n400-g100-rho0p1-r0,400,2,0.1,0.0987466238934028,2.7171366088744784,1.9261748454672791,True
batch1,AUG_collinear-d20-n700-g1000-rho0p1-r0,700,20,0.1,0.10062442332680138,1.1043213505489593,1.9513739068943763,True
batch1,AUG_collinear-d50-n700-g100-rho0p3-r0,700,50,0.3,0.30073287479475025,1.044066724580463,1.7899566442255292,True
batch1,AUG_collinear-d2-n700-g100-rho0p1-r0,700,2,0.1,0.10286575848405728,3.011650152201433,1.9533866158287236,True
batch1,AUG_collinear-d50-n700-g100-rho0p1-r0,700,50,0.1,0.1000977028408007,1.0454620851793361,1.9509699929179856,True
batch1,AUG_collinear-d2-n200-g100-rho0p3-r0,200,2,0.3,0.3145656066391873,3.2956910470680674,1.8265808794794232,True
batch1,AUG_collinear-d10-n700-g100-rho0p1-r0,700,10,0.1,0.09971634808545038,1.212341357169645,1.946776326416649,True
batch1,AUG_collinear-d20-n700-g100-rho1-r0,700,20,1.0,1.005699850718041,1.110894182098615,1.3773431360750115,True
batch1,AUG_collinear-d5-n400-g1000-rho1-r0,400,5,1.0,1.0134942499110255,1.5380934519114142,1.4061340298740062,True
batch1,AUG_collinear-d50-n700-g1000-rho0p3-r0,700,50,0.3,0.2977694957769959,1.0397383816326633,1.800110089594191,True
batch1,AUG_collinear-d50-n700-g1000-rho0p1-r0,700,50,0.1,0.10050476679740557,1.043632340304741,1.955262423080261,True
batch1,AUG_collinear-d10-n200-g10000-rho0p3-r0,200,10,0.3,0.3035752204142673,1.2020526249061447,1.80599972932296,True
batch1,AUG_collinear-d10-n1000-g100-rho1-r0,1000,10,1.0,1.0010529665170058,1.220028945469533,1.3963000104970542,True
